"repository","format","key","species","date","time","user_name","country","locality","latitude","longitude","file_url","file_extension","observation_url","source","latitude_bins","common_name","background_species","caption","year","month","day","country_state_county","state_province","county","age_sex","behavior","playback","captive","collected","specimen_id","home_archive_catalog_number","recorder","microphone","accessory","partner_institution","ebird_checklist_id","unconfirmed","air_temp__c_","water_temp__c_","media_notes","observation_details","parent_species","species_code","taxon_category","taxonomic_sort","recordist_2","average_community_rating","number_of_ratings","asset_tags","original_image_height","original_image_width"
"iNaturalist","sound",345941194,"Oophaga pumilio","2026-01-28","08:10","John d Reynolds",NA,"10.42925,-84.00453",10.42925,-84.00453,"https://static.inaturalist.org/sounds/1828617.m4a?1774792769","m4a","https://www.inaturalist.org/observations/345941194","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iNaturalist","sound",345941175,"Oophaga pumilio","2026-01-27","06:59","John d Reynolds",NA,"10.43842,-84.01607",10.43842,-84.01607,"https://static.inaturalist.org/sounds/1828608.m4a?1774792766","m4a","https://www.inaturalist.org/observations/345941175","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iNaturalist","sound",345941170,"Oophaga pumilio","2026-01-27","09:57","John d Reynolds",NA,"10.43842,-84.01607",10.43842,-84.01607,"https://static.inaturalist.org/sounds/1828609.m4a?1774792766","m4a","https://www.inaturalist.org/observations/345941170","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iNaturalist","sound",342897666,"Oophaga pumilio","2026-03-14","06:42","Lena Struwe",NA,"10.4311670769,-84.0033453705",10.4311670769,-84.0033453705,"https://static.inaturalist.org/sounds/1805362.m4a?1773492272","m4a","https://www.inaturalist.org/observations/342897666","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iNaturalist","sound",339120973,"Oophaga pumilio","2026-02-17","22:25","Manuel Raab",NA,"9.7839310271,-83.7518556161",9.7839310271,-83.7518556161,"https://static.inaturalist.org/sounds/1770586.m4a?1771388759","m4a","https://www.inaturalist.org/observations/339120973","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iNaturalist","sound",335478927,"Oophaga pumilio","2026-01-19","09:49","Mathias Picenoni",NA,"10.4500785799,-84.0678547596",10.4500785799,-84.0678547596,"https://static.inaturalist.org/sounds/1746322.m4a?1768915051","m4a","https://www.inaturalist.org/observations/335478927","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iNaturalist","sound",335147791,"Oophaga pumilio","2026-01-17","19:16","Hans Holbrook",NA,"10.1535339297,-84.2236054307",10.1535339297,-84.2236054307,"https://static.inaturalist.org/sounds/1743894.m4a?1768700013","m4a","https://www.inaturalist.org/observations/335147791","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iNaturalist","sound",333973394,"Oophaga pumilio","2026-01-07","08:37","Mae Wensing",NA,"10.4168496769,-84.1245315963",10.4168496769,-84.1245315963,"https://static.inaturalist.org/sounds/1735906.m4a?1767883454","m4a","https://www.inaturalist.org/observations/333973394","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iNaturalist","sound",322086665,"Oophaga pumilio",NA,NA,"Jazz",NA,"10.417119884,-84.1252052039",10.417119884,-84.1252052039,"https://static.inaturalist.org/sounds/1673133.mp3?1760983646","mp3","https://www.inaturalist.org/observations/322086665","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iNaturalist","sound",310765628,"Oophaga pumilio","2025-08-23","19:40","Arnaud Aury",NA,"9.1765140712,-82.0968611638",9.1765140712,-82.0968611638,"https://static.inaturalist.org/sounds/1626237.mp3?1757083398","mp3","https://www.inaturalist.org/observations/310765628","op_sound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
